Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00013_01_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.00e+00; Runtime: 1.4s; Iterations = 0, grads =   2.185e-05, unitary_metric = 1.00033
Error = :8.75e-01; Runtime: 18.7s; Iterations = 20, grads =   2.099e-02, unitary_metric = 1.00030
Error = :7.57e-01; Runtime: 33.5s; Iterations = 40, grads =   1.266e-02, unitary_metric = 1.00036
Error = :7.51e-01; Runtime: 48.2s; Iterations = 60, grads =   4.411e-03, unitary_metric = 1.00033
Error = :7.51e-01; Runtime: 62.9s; Iterations = 80, grads =   1.216e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 77.6s; Iterations = 100, grads =   1.153e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 93.4s; Iterations = 120, grads =   1.374e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 108.0s; Iterations = 140, grads =   8.790e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 122.7s; Iterations = 160, grads =   4.675e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 137.4s; Iterations = 180, grads =   5.533e-03, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 152.1s; Iterations = 200, grads =   1.397e-02, unitary_metric = 1.00031
Error = :7.50e-01; Runtime: 167.8s; Iterations = 220, grads =   1.063e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 182.4s; Iterations = 240, grads =   7.224e-04, unitary_metric = 1.00030
Error = :7.52e-01; Runtime: 197.1s; Iterations = 260, grads =   2.050e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 211.7s; Iterations = 280, grads =   6.856e-03, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 226.4s; Iterations = 300, grads =   7.145e-03, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 242.3s; Iterations = 320, grads =   1.396e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 257.0s; Iterations = 340, grads =   5.104e-03, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 271.7s; Iterations = 360, grads =   1.088e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 286.4s; Iterations = 380, grads =   3.413e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 301.1s; Iterations = 400, grads =   3.200e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 316.7s; Iterations = 420, grads =   4.763e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 331.4s; Iterations = 440, grads =   2.071e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 346.0s; Iterations = 460, grads =   6.659e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 360.7s; Iterations = 480, grads =   7.784e-04, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 375.4s; Iterations = 500, grads =   1.220e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 391.1s; Iterations = 520, grads =   1.166e-03, unitary_metric = 1.00028
Error = :7.51e-01; Runtime: 405.7s; Iterations = 540, grads =   1.789e-02, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 420.4s; Iterations = 560, grads =   2.804e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 435.1s; Iterations = 580, grads =   6.923e-04, unitary_metric = 1.00027
Error = :7.51e-01; Runtime: 449.7s; Iterations = 600, grads =   8.119e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 465.3s; Iterations = 620, grads =   2.169e-03, unitary_metric = 1.00028
