Running Block:  265


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block265.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.52e-01; Runtime: 0.9s; Iterations = 0, grads =   1.979e-02, unitary_metric = 1.00005
Error = :5.07e-01; Runtime: 6.6s; Iterations = 20, grads =   1.687e-01, unitary_metric = 1.00004
Error = :5.02e-01; Runtime: 10.6s; Iterations = 40, grads =   2.761e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 14.6s; Iterations = 60, grads =   3.147e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 18.6s; Iterations = 80, grads =   1.124e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 22.5s; Iterations = 100, grads =   1.226e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 27.1s; Iterations = 120, grads =   2.985e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 31.1s; Iterations = 140, grads =   1.379e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 35.1s; Iterations = 160, grads =   1.420e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 39.1s; Iterations = 180, grads =   2.933e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 43.1s; Iterations = 200, grads =   5.883e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 47.6s; Iterations = 220, grads =   1.479e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 51.6s; Iterations = 240, grads =   2.807e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 55.5s; Iterations = 260, grads =   1.200e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 59.5s; Iterations = 280, grads =   2.965e-07, unitary_metric = 1.00002
Error = :5.05e-01; Runtime: 63.5s; Iterations = 300, grads =   1.456e-01, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 68.1s; Iterations = 320, grads =   4.159e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 72.0s; Iterations = 340, grads =   2.728e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 76.0s; Iterations = 360, grads =   2.401e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 79.9s; Iterations = 380, grads =   6.104e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 83.9s; Iterations = 400, grads =   3.839e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 88.5s; Iterations = 420, grads =   1.914e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 92.5s; Iterations = 440, grads =   2.725e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 96.4s; Iterations = 460, grads =   5.188e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 100.4s; Iterations = 480, grads =   4.734e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 104.3s; Iterations = 500, grads =   9.952e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 108.8s; Iterations = 520, grads =   5.918e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 112.8s; Iterations = 540, grads =   2.231e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 116.7s; Iterations = 560, grads =   4.514e-07, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 120.7s; Iterations = 580, grads =   2.353e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 124.6s; Iterations = 600, grads =   3.838e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 129.2s; Iterations = 620, grads =   5.058e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 133.1s; Iterations = 640, grads =   8.877e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 137.1s; Iterations = 660, grads =   9.912e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 141.0s; Iterations = 680, grads =   8.078e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 145.0s; Iterations = 700, grads =   1.107e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 149.5s; Iterations = 720, grads =   1.249e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 153.5s; Iterations = 740, grads =   7.561e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 157.4s; Iterations = 760, grads =   1.244e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 161.4s; Iterations = 780, grads =   1.859e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 165.4s; Iterations = 800, grads =   4.687e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 169.9s; Iterations = 820, grads =   1.829e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 173.9s; Iterations = 840, grads =   7.368e-06, unitary_metric = 1.00002
Error = :5.07e-01; Runtime: 177.9s; Iterations = 860, grads =   2.196e-01, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 181.8s; Iterations = 880, grads =   3.564e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 185.8s; Iterations = 900, grads =   8.838e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 190.4s; Iterations = 920, grads =   2.250e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 194.3s; Iterations = 940, grads =   5.262e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 198.3s; Iterations = 960, grads =   5.867e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 202.3s; Iterations = 980, grads =   1.118e-09, unitary_metric = 1.00003
