Running Block:  91


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block91.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.78e-01; Runtime: 0.9s; Iterations = 0, grads =   4.188e-01, unitary_metric = 1.00003
Error = :5.85e-01; Runtime: 6.2s; Iterations = 20, grads =   7.571e-01, unitary_metric = 1.00003
Error = :5.08e-01; Runtime: 9.9s; Iterations = 40, grads =   8.748e-02, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 13.6s; Iterations = 60, grads =   1.362e-02, unitary_metric = 1.00004
Error = :5.00e-01; Runtime: 17.2s; Iterations = 80, grads =   1.426e-03, unitary_metric = 1.00004
Error = :5.00e-01; Runtime: 20.8s; Iterations = 100, grads =   3.151e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 25.1s; Iterations = 120, grads =   3.696e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 28.6s; Iterations = 140, grads =   5.544e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 32.2s; Iterations = 160, grads =   3.448e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 35.8s; Iterations = 180, grads =   7.699e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 39.4s; Iterations = 200, grads =   1.530e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 43.5s; Iterations = 220, grads =   4.224e-10, unitary_metric = 1.00004
Error = :5.00e-01; Runtime: 47.1s; Iterations = 240, grads =   2.423e-08, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 50.7s; Iterations = 260, grads =   3.065e-02, unitary_metric = 1.00004
Error = :5.02e-01; Runtime: 54.4s; Iterations = 280, grads =   6.225e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 58.0s; Iterations = 300, grads =   2.831e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 62.2s; Iterations = 320, grads =   4.070e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 65.8s; Iterations = 340, grads =   4.653e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 69.3s; Iterations = 360, grads =   5.942e-06, unitary_metric = 1.00003
