Running Block:  93


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block93.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.25e-01; Runtime: 0.9s; Iterations = 0, grads =   8.422e-01, unitary_metric = 1.00003
Error = :5.33e-01; Runtime: 6.2s; Iterations = 20, grads =   3.489e-01, unitary_metric = 1.00003
Error = :5.09e-01; Runtime: 9.9s; Iterations = 40, grads =   1.133e-01, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 13.6s; Iterations = 60, grads =   1.963e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 17.2s; Iterations = 80, grads =   9.127e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 20.9s; Iterations = 100, grads =   5.840e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 25.1s; Iterations = 120, grads =   1.493e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 28.7s; Iterations = 140, grads =   1.761e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 32.4s; Iterations = 160, grads =   1.700e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 36.0s; Iterations = 180, grads =   5.113e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 39.6s; Iterations = 200, grads =   1.025e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 43.8s; Iterations = 220, grads =   2.049e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 47.4s; Iterations = 240, grads =   8.914e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 51.1s; Iterations = 260, grads =   3.296e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 54.8s; Iterations = 280, grads =   7.008e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 58.5s; Iterations = 300, grads =   3.487e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 62.7s; Iterations = 320, grads =   3.287e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 66.4s; Iterations = 340, grads =   1.531e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 70.0s; Iterations = 360, grads =   6.639e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 73.6s; Iterations = 380, grads =   1.381e-07, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 77.2s; Iterations = 400, grads =   2.224e-02, unitary_metric = 1.00003
Error = :5.02e-01; Runtime: 81.4s; Iterations = 420, grads =   7.248e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 85.1s; Iterations = 440, grads =   1.054e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 88.7s; Iterations = 460, grads =   9.415e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 92.3s; Iterations = 480, grads =   1.149e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 95.9s; Iterations = 500, grads =   3.953e-06, unitary_metric = 1.00004
Error = :5.00e-01; Runtime: 100.1s; Iterations = 520, grads =   6.728e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 103.7s; Iterations = 540, grads =   5.229e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 107.3s; Iterations = 560, grads =   1.170e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 110.9s; Iterations = 580, grads =   6.241e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 114.5s; Iterations = 600, grads =   6.750e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 118.7s; Iterations = 620, grads =   8.184e-03, unitary_metric = 1.00003
Error = :5.02e-01; Runtime: 122.3s; Iterations = 640, grads =   6.375e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 125.9s; Iterations = 660, grads =   8.701e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 129.5s; Iterations = 680, grads =   9.427e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 133.1s; Iterations = 700, grads =   2.890e-05, unitary_metric = 1.00004
Error = :5.00e-01; Runtime: 137.2s; Iterations = 720, grads =   1.014e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 140.8s; Iterations = 740, grads =   1.396e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 144.4s; Iterations = 760, grads =   2.946e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 148.0s; Iterations = 780, grads =   1.476e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 151.5s; Iterations = 800, grads =   1.067e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 155.7s; Iterations = 820, grads =   3.759e-06, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 159.2s; Iterations = 840, grads =   2.544e-02, unitary_metric = 1.00004
Error = :5.01e-01; Runtime: 162.8s; Iterations = 860, grads =   3.998e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 166.4s; Iterations = 880, grads =   3.816e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 170.0s; Iterations = 900, grads =   3.591e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 174.2s; Iterations = 920, grads =   8.753e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 177.8s; Iterations = 940, grads =   4.663e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 181.3s; Iterations = 960, grads =   6.719e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 184.9s; Iterations = 980, grads =   7.173e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 188.5s; Iterations = 1000, grads =   2.316e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 192.7s; Iterations = 1020, grads =   4.514e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 196.2s; Iterations = 1040, grads =   3.117e-07, unitary_metric = 1.00004
Error = :5.00e-01; Runtime: 199.8s; Iterations = 1060, grads =   5.962e-04, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 203.4s; Iterations = 1080, grads =   3.702e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 207.0s; Iterations = 1100, grads =   7.437e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 211.1s; Iterations = 1120, grads =   1.268e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 214.7s; Iterations = 1140, grads =   1.597e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 218.2s; Iterations = 1160, grads =   5.384e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 221.8s; Iterations = 1180, grads =   2.597e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 225.4s; Iterations = 1200, grads =   7.526e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 229.5s; Iterations = 1220, grads =   4.586e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 233.1s; Iterations = 1240, grads =   9.883e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 236.7s; Iterations = 1260, grads =   4.641e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 240.4s; Iterations = 1280, grads =   1.134e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 244.0s; Iterations = 1300, grads =   9.901e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 248.2s; Iterations = 1320, grads =   1.088e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 251.8s; Iterations = 1340, grads =   1.258e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 255.3s; Iterations = 1360, grads =   1.151e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 258.9s; Iterations = 1380, grads =   7.673e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 262.5s; Iterations = 1400, grads =   1.238e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 266.7s; Iterations = 1420, grads =   1.423e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 270.3s; Iterations = 1440, grads =   1.971e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 273.9s; Iterations = 1460, grads =   3.351e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 277.5s; Iterations = 1480, grads =   8.740e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 281.0s; Iterations = 1500, grads =   2.228e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 285.2s; Iterations = 1520, grads =   2.347e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 288.8s; Iterations = 1540, grads =   1.778e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 292.3s; Iterations = 1560, grads =   3.112e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 295.8s; Iterations = 1580, grads =   1.335e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 299.3s; Iterations = 1600, grads =   3.031e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 303.4s; Iterations = 1620, grads =   1.797e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 307.0s; Iterations = 1640, grads =   2.003e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 310.5s; Iterations = 1660, grads =   7.461e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 314.1s; Iterations = 1680, grads =   7.069e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 317.6s; Iterations = 1700, grads =   9.024e-05, unitary_metric = 1.00002
Error = :5.02e-01; Runtime: 321.7s; Iterations = 1720, grads =   3.754e-02, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 325.3s; Iterations = 1740, grads =   2.432e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 328.8s; Iterations = 1760, grads =   1.701e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 332.3s; Iterations = 1780, grads =   8.161e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 335.9s; Iterations = 1800, grads =   9.680e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 340.0s; Iterations = 1820, grads =   1.664e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 343.5s; Iterations = 1840, grads =   5.500e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 347.1s; Iterations = 1860, grads =   1.775e-05, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 350.7s; Iterations = 1880, grads =   5.343e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 354.2s; Iterations = 1900, grads =   6.583e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 358.4s; Iterations = 1920, grads =   2.236e-07, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 362.1s; Iterations = 1940, grads =   1.241e-05, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 365.7s; Iterations = 1960, grads =   7.193e-03, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 369.2s; Iterations = 1980, grads =   1.579e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 372.8s; Iterations = 2000, grads =   4.389e-04, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 377.0s; Iterations = 2020, grads =   1.175e-04, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 380.7s; Iterations = 2040, grads =   4.425e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 384.3s; Iterations = 2060, grads =   1.158e-02, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 388.0s; Iterations = 2080, grads =   1.583e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 391.7s; Iterations = 2100, grads =   1.568e-04, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 395.9s; Iterations = 2120, grads =   2.582e-05, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 399.6s; Iterations = 2140, grads =   3.193e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 403.3s; Iterations = 2160, grads =   6.490e-08, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 406.9s; Iterations = 2180, grads =   2.357e-08, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 410.6s; Iterations = 2200, grads =   1.476e-06, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 414.8s; Iterations = 2220, grads =   9.511e-04, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 418.5s; Iterations = 2240, grads =   7.224e-03, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 422.1s; Iterations = 2260, grads =   7.700e-04, unitary_metric = 1.00001
Error = :5.01e-01; Runtime: 425.8s; Iterations = 2280, grads =   2.448e-02, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 429.5s; Iterations = 2300, grads =   1.323e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 433.8s; Iterations = 2320, grads =   1.756e-06, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 437.5s; Iterations = 2340, grads =   8.388e-06, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 441.1s; Iterations = 2360, grads =   5.458e-07, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 444.8s; Iterations = 2380, grads =   2.375e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 448.5s; Iterations = 2400, grads =   1.347e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 452.7s; Iterations = 2420, grads =   1.220e-08, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 456.4s; Iterations = 2440, grads =   2.593e-08, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 460.1s; Iterations = 2460, grads =   2.761e-08, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 463.9s; Iterations = 2480, grads =   9.868e-08, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 467.6s; Iterations = 2500, grads =   6.180e-06, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 471.9s; Iterations = 2520, grads =   2.325e-03, unitary_metric = 1.00001
Error = :5.01e-01; Runtime: 475.6s; Iterations = 2540, grads =   1.552e-02, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 479.3s; Iterations = 2560, grads =   2.202e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 483.0s; Iterations = 2580, grads =   1.344e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 486.6s; Iterations = 2600, grads =   2.299e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 490.9s; Iterations = 2620, grads =   7.605e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 494.6s; Iterations = 2640, grads =   4.071e-07, unitary_metric = 1.00001
Error = :5.00e-01; Runtime: 498.3s; Iterations = 2660, grads =   6.343e-08, unitary_metric = 1.00002
