Running Block:  310


trying total_time: 30.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00010_27_block310.h5
Using 7 Taylor terms and 2 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.93e-01; Runtime: 1.0s; Iterations = 0, grads =   4.689e-03, unitary_metric = 1.00002
Error = :6.82e-01; Runtime: 13.5s; Iterations = 20, grads =   7.324e-01, unitary_metric = 1.00000
Error = :3.85e-01; Runtime: 24.1s; Iterations = 40, grads =   1.315e-01, unitary_metric = 1.00000
Error = :3.70e-01; Runtime: 34.7s; Iterations = 60, grads =   5.882e-03, unitary_metric = 1.00001
Error = :3.69e-01; Runtime: 45.2s; Iterations = 80, grads =   3.943e-03, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 55.8s; Iterations = 100, grads =   1.724e-03, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 67.0s; Iterations = 120, grads =   3.647e-03, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 77.6s; Iterations = 140, grads =   2.329e-04, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 88.2s; Iterations = 160, grads =   3.045e-04, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 98.7s; Iterations = 180, grads =   1.097e-04, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 109.2s; Iterations = 200, grads =   2.840e-03, unitary_metric = 1.00000
Error = :3.73e-01; Runtime: 120.6s; Iterations = 220, grads =   9.800e-02, unitary_metric = 1.00000
Error = :3.74e-01; Runtime: 131.2s; Iterations = 240, grads =   1.599e-01, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 141.7s; Iterations = 260, grads =   4.736e-03, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 152.3s; Iterations = 280, grads =   4.552e-03, unitary_metric = 1.00000
Error = :3.69e-01; Runtime: 162.8s; Iterations = 300, grads =   6.013e-04, unitary_metric = 1.00000
