Running Block:  348


trying total_time: 30.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00017_27_block348.h5
Using 7 Taylor terms and 2 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.89e-01; Runtime: 1.0s; Iterations = 0, grads =   1.478e-03, unitary_metric = 1.00001
Error = :7.90e-01; Runtime: 13.4s; Iterations = 20, grads =   2.221e-02, unitary_metric = 1.00001
Error = :7.49e-01; Runtime: 23.9s; Iterations = 40, grads =   3.320e-03, unitary_metric = 1.00001
Error = :5.84e-01; Runtime: 34.4s; Iterations = 60, grads =   2.006e-01, unitary_metric = 1.00000
Error = :6.01e-02; Runtime: 44.9s; Iterations = 80, grads =   1.250e-01, unitary_metric = 0.99999
Error = :1.71e-02; Runtime: 55.4s; Iterations = 100, grads =   2.201e-02, unitary_metric = 0.99999
Error = :1.24e-02; Runtime: 66.7s; Iterations = 120, grads =   1.860e-03, unitary_metric = 0.99999
Error = :1.19e-02; Runtime: 77.3s; Iterations = 140, grads =   6.863e-04, unitary_metric = 1.00000
Error = :1.24e-02; Runtime: 87.8s; Iterations = 160, grads =   1.569e-02, unitary_metric = 0.99999
Error = :1.19e-02; Runtime: 98.2s; Iterations = 180, grads =   3.834e-03, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 108.6s; Iterations = 200, grads =   6.437e-04, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 119.8s; Iterations = 220, grads =   1.503e-04, unitary_metric = 1.00000
Error = :1.39e-02; Runtime: 130.2s; Iterations = 240, grads =   5.943e-02, unitary_metric = 1.00000
Error = :2.36e-02; Runtime: 140.6s; Iterations = 260, grads =   3.420e-01, unitary_metric = 0.99999
Error = :1.93e-02; Runtime: 151.1s; Iterations = 280, grads =   1.853e-01, unitary_metric = 1.00000
Error = :1.25e-02; Runtime: 161.5s; Iterations = 300, grads =   1.999e-02, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 172.8s; Iterations = 320, grads =   1.324e-03, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 183.2s; Iterations = 340, grads =   1.518e-04, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 193.7s; Iterations = 360, grads =   7.650e-06, unitary_metric = 0.99999
Error = :1.36e-02; Runtime: 204.2s; Iterations = 380, grads =   4.323e-02, unitary_metric = 0.99999
Error = :1.20e-02; Runtime: 214.6s; Iterations = 400, grads =   6.093e-03, unitary_metric = 0.99999
Error = :1.19e-02; Runtime: 225.8s; Iterations = 420, grads =   4.916e-03, unitary_metric = 0.99999
Error = :1.21e-02; Runtime: 236.3s; Iterations = 440, grads =   1.002e-02, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 246.7s; Iterations = 460, grads =   2.943e-03, unitary_metric = 0.99999
Error = :1.23e-02; Runtime: 257.2s; Iterations = 480, grads =   1.585e-02, unitary_metric = 0.99999
Error = :1.24e-02; Runtime: 267.6s; Iterations = 500, grads =   1.837e-02, unitary_metric = 0.99998
Error = :1.18e-02; Runtime: 278.8s; Iterations = 520, grads =   2.233e-03, unitary_metric = 0.99999
Error = :1.30e-02; Runtime: 289.3s; Iterations = 540, grads =   3.195e-02, unitary_metric = 0.99999
Error = :1.19e-02; Runtime: 299.7s; Iterations = 560, grads =   3.248e-03, unitary_metric = 0.99999
Error = :1.20e-02; Runtime: 310.1s; Iterations = 580, grads =   6.795e-03, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 320.6s; Iterations = 600, grads =   1.222e-03, unitary_metric = 0.99999
Error = :1.91e-02; Runtime: 331.8s; Iterations = 620, grads =   1.769e-01, unitary_metric = 0.99999
Error = :1.22e-02; Runtime: 342.2s; Iterations = 640, grads =   1.097e-02, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 352.7s; Iterations = 660, grads =   5.887e-04, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 363.1s; Iterations = 680, grads =   3.045e-04, unitary_metric = 0.99999
Error = :1.21e-02; Runtime: 373.5s; Iterations = 700, grads =   9.559e-03, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 384.7s; Iterations = 720, grads =   3.199e-03, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 395.1s; Iterations = 740, grads =   3.807e-03, unitary_metric = 0.99999
Error = :1.29e-02; Runtime: 405.6s; Iterations = 760, grads =   3.267e-02, unitary_metric = 0.99999
Error = :1.20e-02; Runtime: 416.0s; Iterations = 780, grads =   8.614e-03, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 426.5s; Iterations = 800, grads =   3.287e-03, unitary_metric = 0.99999
Error = :1.39e-02; Runtime: 437.6s; Iterations = 820, grads =   4.755e-02, unitary_metric = 0.99999
Error = :1.19e-02; Runtime: 448.1s; Iterations = 840, grads =   5.148e-03, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 458.5s; Iterations = 860, grads =   1.494e-03, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 468.9s; Iterations = 880, grads =   1.781e-03, unitary_metric = 0.99999
Error = :1.22e-02; Runtime: 479.4s; Iterations = 900, grads =   1.392e-02, unitary_metric = 0.99999
Error = :1.19e-02; Runtime: 490.6s; Iterations = 920, grads =   4.588e-03, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 501.1s; Iterations = 940, grads =   8.747e-04, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 511.5s; Iterations = 960, grads =   1.706e-03, unitary_metric = 0.99999
Error = :1.23e-02; Runtime: 522.0s; Iterations = 980, grads =   1.398e-02, unitary_metric = 0.99999
Error = :1.18e-02; Runtime: 532.5s; Iterations = 1000, grads =   2.945e-03, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 543.8s; Iterations = 1020, grads =   3.491e-04, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 554.3s; Iterations = 1040, grads =   1.042e-03, unitary_metric = 0.99999
Error = :1.30e-02; Runtime: 564.7s; Iterations = 1060, grads =   3.355e-02, unitary_metric = 0.99999
Error = :1.21e-02; Runtime: 575.1s; Iterations = 1080, grads =   1.176e-02, unitary_metric = 0.99999
Error = :1.16e-02; Runtime: 585.5s; Iterations = 1100, grads =   8.353e-04, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 597.1s; Iterations = 1120, grads =   1.473e-03, unitary_metric = 0.99998
Error = :1.27e-02; Runtime: 607.5s; Iterations = 1140, grads =   2.839e-02, unitary_metric = 0.99999
Error = :1.17e-02; Runtime: 618.0s; Iterations = 1160, grads =   4.852e-03, unitary_metric = 0.99999
Error = :1.15e-02; Runtime: 628.4s; Iterations = 1180, grads =   2.888e-04, unitary_metric = 0.99999
Error = :1.15e-02; Runtime: 638.9s; Iterations = 1200, grads =   1.661e-04, unitary_metric = 0.99999
Error = :1.15e-02; Runtime: 650.4s; Iterations = 1220, grads =   2.439e-03, unitary_metric = 0.99999
Error = :1.21e-02; Runtime: 660.8s; Iterations = 1240, grads =   1.671e-02, unitary_metric = 0.99999
Error = :1.13e-02; Runtime: 671.2s; Iterations = 1260, grads =   1.126e-03, unitary_metric = 0.99999
Error = :1.13e-02; Runtime: 681.4s; Iterations = 1280, grads =   1.187e-03, unitary_metric = 0.99999
Error = :1.12e-02; Runtime: 691.3s; Iterations = 1300, grads =   2.953e-03, unitary_metric = 0.99999
Error = :1.11e-02; Runtime: 702.1s; Iterations = 1320, grads =   2.945e-03, unitary_metric = 0.99999
Error = :1.10e-02; Runtime: 712.1s; Iterations = 1340, grads =   4.274e-03, unitary_metric = 0.99999
Error = :1.07e-02; Runtime: 721.9s; Iterations = 1360, grads =   1.829e-03, unitary_metric = 0.99998
Error = :1.06e-02; Runtime: 731.8s; Iterations = 1380, grads =   3.475e-03, unitary_metric = 0.99999
Error = :1.10e-02; Runtime: 741.8s; Iterations = 1400, grads =   2.085e-02, unitary_metric = 0.99999
