Running Block:  85


trying total_time: 30.0 for unitary of size (8, 8)
data saved at: /project/ftchong/qoc/pranav/00016_27_block85.h5
Using 5 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.99e-01; Runtime: 0.9s; Iterations = 0, grads =   3.595e-03, unitary_metric = 1.00004
Error = :1.61e-01; Runtime: 8.7s; Iterations = 20, grads =   6.276e+00, unitary_metric = 1.00003
Error = :2.75e-02; Runtime: 14.9s; Iterations = 40, grads =   4.106e-01, unitary_metric = 1.00003
Error = :2.06e-02; Runtime: 20.9s; Iterations = 60, grads =   1.267e-01, unitary_metric = 1.00004
Error = :1.83e-02; Runtime: 26.9s; Iterations = 80, grads =   7.237e-03, unitary_metric = 1.00004
Error = :1.82e-02; Runtime: 32.9s; Iterations = 100, grads =   1.997e-03, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 39.5s; Iterations = 120, grads =   1.420e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 45.4s; Iterations = 140, grads =   1.523e-05, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 51.3s; Iterations = 160, grads =   4.103e-06, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 57.4s; Iterations = 180, grads =   4.053e-07, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 63.6s; Iterations = 200, grads =   6.343e-08, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 70.4s; Iterations = 220, grads =   6.893e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 76.3s; Iterations = 240, grads =   3.002e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 82.3s; Iterations = 260, grads =   1.544e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 88.3s; Iterations = 280, grads =   1.405e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 94.2s; Iterations = 300, grads =   1.570e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 100.7s; Iterations = 320, grads =   1.418e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 106.5s; Iterations = 340, grads =   1.468e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 112.3s; Iterations = 360, grads =   1.300e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 118.3s; Iterations = 380, grads =   1.378e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 124.3s; Iterations = 400, grads =   1.566e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 130.8s; Iterations = 420, grads =   1.939e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 136.7s; Iterations = 440, grads =   1.446e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 142.5s; Iterations = 460, grads =   1.617e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 148.3s; Iterations = 480, grads =   1.579e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 154.2s; Iterations = 500, grads =   1.739e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 161.1s; Iterations = 520, grads =   1.485e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 166.9s; Iterations = 540, grads =   1.461e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 172.8s; Iterations = 560, grads =   1.603e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 178.6s; Iterations = 580, grads =   1.543e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 184.5s; Iterations = 600, grads =   1.784e-09, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 191.0s; Iterations = 620, grads =   3.186e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 196.9s; Iterations = 640, grads =   2.707e-09, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 202.8s; Iterations = 660, grads =   3.809e-06, unitary_metric = 1.00003
Error = :3.55e-02; Runtime: 208.6s; Iterations = 680, grads =   8.391e-01, unitary_metric = 1.00003
Error = :2.01e-02; Runtime: 214.5s; Iterations = 700, grads =   9.455e-02, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 220.9s; Iterations = 720, grads =   5.976e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 226.8s; Iterations = 740, grads =   1.691e-05, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 232.6s; Iterations = 760, grads =   1.851e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 238.6s; Iterations = 780, grads =   8.111e-06, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 244.7s; Iterations = 800, grads =   3.091e-07, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 251.2s; Iterations = 820, grads =   1.589e-07, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 257.0s; Iterations = 840, grads =   5.461e-08, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 262.9s; Iterations = 860, grads =   1.650e-08, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 268.7s; Iterations = 880, grads =   7.391e-06, unitary_metric = 1.00003
Error = :2.15e-02; Runtime: 274.6s; Iterations = 900, grads =   1.613e-01, unitary_metric = 1.00004
Error = :1.84e-02; Runtime: 281.1s; Iterations = 920, grads =   1.346e-02, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 286.9s; Iterations = 940, grads =   7.243e-06, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 292.7s; Iterations = 960, grads =   3.206e-04, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 298.7s; Iterations = 980, grads =   1.501e-04, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 304.6s; Iterations = 1000, grads =   2.083e-06, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 311.2s; Iterations = 1020, grads =   3.672e-07, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 317.0s; Iterations = 1040, grads =   1.415e-04, unitary_metric = 1.00004
Error = :2.42e-02; Runtime: 322.9s; Iterations = 1060, grads =   2.855e-01, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 328.7s; Iterations = 1080, grads =   8.308e-04, unitary_metric = 1.00004
Error = :1.82e-02; Runtime: 334.6s; Iterations = 1100, grads =   3.510e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 341.1s; Iterations = 1120, grads =   1.642e-04, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 346.9s; Iterations = 1140, grads =   5.994e-05, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 352.8s; Iterations = 1160, grads =   2.553e-06, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 358.8s; Iterations = 1180, grads =   3.195e-07, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 364.8s; Iterations = 1200, grads =   1.639e-05, unitary_metric = 1.00003
Error = :2.00e-02; Runtime: 371.4s; Iterations = 1220, grads =   8.602e-02, unitary_metric = 1.00004
Error = :1.92e-02; Runtime: 377.2s; Iterations = 1240, grads =   5.069e-02, unitary_metric = 1.00003
Error = :2.21e-02; Runtime: 383.2s; Iterations = 1260, grads =   2.564e-01, unitary_metric = 1.00003
Error = :1.86e-02; Runtime: 389.2s; Iterations = 1280, grads =   3.212e-02, unitary_metric = 1.00004
Error = :1.82e-02; Runtime: 395.2s; Iterations = 1300, grads =   3.944e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 401.8s; Iterations = 1320, grads =   5.317e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 407.8s; Iterations = 1340, grads =   1.597e-05, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 413.8s; Iterations = 1360, grads =   1.769e-05, unitary_metric = 1.00003
Error = :1.84e-02; Runtime: 419.8s; Iterations = 1380, grads =   1.235e-02, unitary_metric = 1.00003
Error = :1.88e-02; Runtime: 425.8s; Iterations = 1400, grads =   3.026e-02, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 432.6s; Iterations = 1420, grads =   4.008e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 438.6s; Iterations = 1440, grads =   5.215e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 444.6s; Iterations = 1460, grads =   1.053e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 450.5s; Iterations = 1480, grads =   7.323e-06, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 456.5s; Iterations = 1500, grads =   2.071e-05, unitary_metric = 1.00003
Error = :1.84e-02; Runtime: 463.2s; Iterations = 1520, grads =   1.866e-02, unitary_metric = 1.00003
Error = :2.13e-02; Runtime: 469.2s; Iterations = 1540, grads =   1.759e-01, unitary_metric = 1.00003
Error = :1.88e-02; Runtime: 475.2s; Iterations = 1560, grads =   3.231e-02, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 481.2s; Iterations = 1580, grads =   5.463e-03, unitary_metric = 1.00004
Error = :1.81e-02; Runtime: 487.2s; Iterations = 1600, grads =   5.277e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 493.9s; Iterations = 1620, grads =   3.537e-05, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 499.9s; Iterations = 1640, grads =   3.090e-06, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 505.9s; Iterations = 1660, grads =   7.383e-06, unitary_metric = 1.00003
Error = :1.83e-02; Runtime: 511.9s; Iterations = 1680, grads =   5.875e-03, unitary_metric = 1.00003
Error = :1.94e-02; Runtime: 517.9s; Iterations = 1700, grads =   5.479e-02, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 524.6s; Iterations = 1720, grads =   5.505e-03, unitary_metric = 1.00003
Error = :1.84e-02; Runtime: 530.6s; Iterations = 1740, grads =   2.085e-02, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 536.6s; Iterations = 1760, grads =   8.122e-03, unitary_metric = 1.00004
Error = :1.82e-02; Runtime: 542.6s; Iterations = 1780, grads =   2.728e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 548.6s; Iterations = 1800, grads =   4.907e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 555.3s; Iterations = 1820, grads =   1.556e-04, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 561.3s; Iterations = 1840, grads =   1.606e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 567.3s; Iterations = 1860, grads =   1.838e-04, unitary_metric = 1.00003
Error = :1.83e-02; Runtime: 573.4s; Iterations = 1880, grads =   8.807e-03, unitary_metric = 1.00003
Error = :2.06e-02; Runtime: 579.3s; Iterations = 1900, grads =   1.566e-01, unitary_metric = 1.00003
Error = :1.84e-02; Runtime: 585.9s; Iterations = 1920, grads =   1.799e-02, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 592.0s; Iterations = 1940, grads =   2.342e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 598.0s; Iterations = 1960, grads =   1.402e-04, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 604.0s; Iterations = 1980, grads =   3.464e-05, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 610.0s; Iterations = 2000, grads =   2.647e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 616.6s; Iterations = 2020, grads =   9.921e-04, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 622.6s; Iterations = 2040, grads =   3.126e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 628.6s; Iterations = 2060, grads =   4.018e-04, unitary_metric = 1.00003
Error = :1.83e-02; Runtime: 634.6s; Iterations = 2080, grads =   8.594e-03, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 640.6s; Iterations = 2100, grads =   4.349e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 647.2s; Iterations = 2120, grads =   6.204e-04, unitary_metric = 1.00003
Error = :1.83e-02; Runtime: 653.2s; Iterations = 2140, grads =   6.309e-03, unitary_metric = 1.00003
Error = :1.90e-02; Runtime: 659.2s; Iterations = 2160, grads =   3.647e-02, unitary_metric = 1.00003
Error = :1.82e-02; Runtime: 665.2s; Iterations = 2180, grads =   1.469e-03, unitary_metric = 1.00003
Error = :1.81e-02; Runtime: 671.2s; Iterations = 2200, grads =   2.894e-05, unitary_metric = 1.00003
