Running Block:  69


trying total_time: 30.0 for unitary of size (8, 8)
data saved at: /project/ftchong/qoc/pranav/00016_27_block69.h5
Using 5 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.90e-01; Runtime: 0.9s; Iterations = 0, grads =   7.573e-02, unitary_metric = 1.00005
Error = :5.78e-02; Runtime: 8.8s; Iterations = 20, grads =   1.366e+00, unitary_metric = 1.00003
Error = :6.88e-03; Runtime: 15.0s; Iterations = 40, grads =   1.757e-01, unitary_metric = 1.00002
Error = :3.34e-03; Runtime: 21.2s; Iterations = 60, grads =   6.006e-02, unitary_metric = 1.00002
Error = :2.14e-03; Runtime: 27.6s; Iterations = 80, grads =   1.004e-02, unitary_metric = 1.00002
Error = :1.97e-03; Runtime: 33.7s; Iterations = 100, grads =   4.700e-04, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 40.6s; Iterations = 120, grads =   1.272e-04, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 46.7s; Iterations = 140, grads =   1.034e-05, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 52.9s; Iterations = 160, grads =   2.160e-06, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 59.0s; Iterations = 180, grads =   1.176e-07, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 65.2s; Iterations = 200, grads =   1.568e-07, unitary_metric = 1.00002
Error = :2.14e-03; Runtime: 72.0s; Iterations = 220, grads =   9.790e-03, unitary_metric = 1.00002
Error = :4.29e-03; Runtime: 78.1s; Iterations = 240, grads =   1.225e-01, unitary_metric = 1.00002
Error = :2.60e-03; Runtime: 84.2s; Iterations = 260, grads =   3.352e-02, unitary_metric = 1.00001
Error = :1.96e-03; Runtime: 90.4s; Iterations = 280, grads =   1.369e-04, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 96.5s; Iterations = 300, grads =   1.905e-05, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 103.3s; Iterations = 320, grads =   7.950e-05, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 109.5s; Iterations = 340, grads =   9.884e-06, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 115.6s; Iterations = 360, grads =   1.273e-06, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 121.8s; Iterations = 380, grads =   2.039e-07, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 127.9s; Iterations = 400, grads =   1.105e-09, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 134.7s; Iterations = 420, grads =   2.706e-07, unitary_metric = 1.00002
Error = :2.23e-03; Runtime: 140.8s; Iterations = 440, grads =   1.422e-02, unitary_metric = 1.00002
Error = :2.23e-03; Runtime: 147.0s; Iterations = 460, grads =   1.410e-02, unitary_metric = 1.00002
Error = :2.42e-03; Runtime: 153.1s; Iterations = 480, grads =   2.343e-02, unitary_metric = 1.00002
Error = :1.97e-03; Runtime: 159.2s; Iterations = 500, grads =   1.113e-03, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 166.1s; Iterations = 520, grads =   4.413e-04, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 172.2s; Iterations = 540, grads =   5.878e-05, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 178.3s; Iterations = 560, grads =   6.880e-07, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 184.5s; Iterations = 580, grads =   8.231e-07, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 190.6s; Iterations = 600, grads =   2.963e-08, unitary_metric = 1.00002
Error = :1.96e-03; Runtime: 197.4s; Iterations = 620, grads =   1.921e-08, unitary_metric = 1.00002
Error = :1.95e-03; Runtime: 203.5s; Iterations = 640, grads =   2.221e-09, unitary_metric = 1.00003
Error = :1.95e-03; Runtime: 209.7s; Iterations = 660, grads =   3.700e-09, unitary_metric = 1.00003
Error = :1.95e-03; Runtime: 215.8s; Iterations = 680, grads =   1.906e-07, unitary_metric = 1.00003
Error = :2.02e-03; Runtime: 222.0s; Iterations = 700, grads =   3.305e-03, unitary_metric = 1.00002
