Running Block:  318


trying total_time: 30.0 for unitary of size (8, 8)
data saved at: /project/ftchong/qoc/pranav/00010_27_block318.h5
Using 5 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.66e-01; Runtime: 0.9s; Iterations = 0, grads =   3.825e+00, unitary_metric = 1.00010
Error = :1.63e-01; Runtime: 8.5s; Iterations = 20, grads =   7.234e+00, unitary_metric = 1.00007
Error = :3.93e-02; Runtime: 14.5s; Iterations = 40, grads =   7.942e-01, unitary_metric = 1.00006
Error = :2.74e-02; Runtime: 20.5s; Iterations = 60, grads =   1.188e-01, unitary_metric = 1.00006
Error = :2.57e-02; Runtime: 26.4s; Iterations = 80, grads =   2.280e-02, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 32.5s; Iterations = 100, grads =   1.004e-03, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 39.4s; Iterations = 120, grads =   2.505e-04, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 45.3s; Iterations = 140, grads =   1.749e-05, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 51.3s; Iterations = 160, grads =   6.529e-06, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 57.2s; Iterations = 180, grads =   5.598e-07, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 63.2s; Iterations = 200, grads =   8.461e-08, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 69.8s; Iterations = 220, grads =   1.467e-08, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 75.8s; Iterations = 240, grads =   6.044e-09, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 81.7s; Iterations = 260, grads =   3.181e-09, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 87.6s; Iterations = 280, grads =   2.509e-09, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 93.5s; Iterations = 300, grads =   1.383e-09, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 100.1s; Iterations = 320, grads =   1.407e-09, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 106.0s; Iterations = 340, grads =   1.513e-09, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 111.9s; Iterations = 360, grads =   7.452e-10, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 117.8s; Iterations = 380, grads =   3.948e-09, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 123.7s; Iterations = 400, grads =   7.494e-07, unitary_metric = 1.00005
Error = :3.13e-02; Runtime: 130.2s; Iterations = 420, grads =   3.063e-01, unitary_metric = 1.00006
Error = :2.60e-02; Runtime: 136.2s; Iterations = 440, grads =   3.581e-02, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 142.1s; Iterations = 460, grads =   3.868e-04, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 148.0s; Iterations = 480, grads =   1.399e-03, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 153.9s; Iterations = 500, grads =   4.376e-05, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 160.5s; Iterations = 520, grads =   9.459e-06, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 166.4s; Iterations = 540, grads =   1.744e-06, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 172.4s; Iterations = 560, grads =   9.921e-08, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 178.4s; Iterations = 580, grads =   1.955e-06, unitary_metric = 1.00006
Error = :2.54e-02; Runtime: 184.3s; Iterations = 600, grads =   1.209e-04, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 190.9s; Iterations = 620, grads =   6.518e-07, unitary_metric = 1.00006
Error = :2.53e-02; Runtime: 196.8s; Iterations = 640, grads =   2.585e-06, unitary_metric = 1.00005
Error = :2.53e-02; Runtime: 202.8s; Iterations = 660, grads =   6.381e-06, unitary_metric = 1.00005
Error = :2.81e-02; Runtime: 208.7s; Iterations = 680, grads =   1.391e-01, unitary_metric = 1.00006
