Running Block:  188


trying total_time: 30.0 for unitary of size (8, 8)
data saved at: /project/ftchong/qoc/pranav/00016_27_block188.h5
Using 5 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.73e-01; Runtime: 0.9s; Iterations = 0, grads =   1.893e-01, unitary_metric = 1.00011
Error = :1.23e-01; Runtime: 8.7s; Iterations = 20, grads =   4.984e+00, unitary_metric = 1.00008
Error = :2.90e-02; Runtime: 14.8s; Iterations = 40, grads =   9.118e-01, unitary_metric = 1.00007
Error = :1.18e-02; Runtime: 20.9s; Iterations = 60, grads =   6.099e-02, unitary_metric = 1.00007
Error = :1.09e-02; Runtime: 27.0s; Iterations = 80, grads =   1.701e-02, unitary_metric = 1.00007
Error = :1.06e-02; Runtime: 33.1s; Iterations = 100, grads =   3.648e-03, unitary_metric = 1.00008
Error = :1.05e-02; Runtime: 39.8s; Iterations = 120, grads =   1.374e-04, unitary_metric = 1.00008
Error = :1.05e-02; Runtime: 45.9s; Iterations = 140, grads =   3.080e-05, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 51.9s; Iterations = 160, grads =   2.262e-06, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 58.0s; Iterations = 180, grads =   7.538e-07, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 64.0s; Iterations = 200, grads =   5.134e-08, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 70.7s; Iterations = 220, grads =   8.374e-09, unitary_metric = 1.00006
Error = :1.05e-02; Runtime: 76.8s; Iterations = 240, grads =   1.589e-09, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 82.8s; Iterations = 260, grads =   8.893e-10, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 88.9s; Iterations = 280, grads =   7.879e-10, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 94.9s; Iterations = 300, grads =   1.298e-09, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 101.6s; Iterations = 320, grads =   8.052e-10, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 107.7s; Iterations = 340, grads =   8.845e-10, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 113.7s; Iterations = 360, grads =   1.171e-09, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 119.8s; Iterations = 380, grads =   7.039e-10, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 125.8s; Iterations = 400, grads =   8.421e-10, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 132.5s; Iterations = 420, grads =   1.143e-09, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 138.6s; Iterations = 440, grads =   9.676e-08, unitary_metric = 1.00007
Error = :1.08e-02; Runtime: 144.6s; Iterations = 460, grads =   1.226e-02, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 150.7s; Iterations = 480, grads =   5.962e-05, unitary_metric = 1.00007
Error = :1.08e-02; Runtime: 156.7s; Iterations = 500, grads =   1.093e-02, unitary_metric = 1.00007
Error = :1.06e-02; Runtime: 163.4s; Iterations = 520, grads =   4.292e-03, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 169.5s; Iterations = 540, grads =   5.434e-06, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 175.5s; Iterations = 560, grads =   7.976e-06, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 181.5s; Iterations = 580, grads =   6.071e-07, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 187.6s; Iterations = 600, grads =   1.262e-06, unitary_metric = 1.00007
Error = :1.05e-02; Runtime: 194.3s; Iterations = 620, grads =   2.071e-07, unitary_metric = 1.00007
