Running Block:  232


trying total_time: 30.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00017_27_block232.h5
Using 7 Taylor terms and 2 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.91e-01; Runtime: 1.3s; Iterations = 0, grads =   1.477e-02, unitary_metric = 1.00002
Error = :2.47e-01; Runtime: 12.7s; Iterations = 20, grads =   3.126e-01, unitary_metric = 1.00000
Error = :9.03e-02; Runtime: 22.2s; Iterations = 40, grads =   6.644e-02, unitary_metric = 1.00001
Error = :7.77e-02; Runtime: 31.8s; Iterations = 60, grads =   2.375e-02, unitary_metric = 1.00001
Error = :7.75e-02; Runtime: 41.3s; Iterations = 80, grads =   2.713e-02, unitary_metric = 1.00001
Error = :7.68e-02; Runtime: 50.9s; Iterations = 100, grads =   8.713e-03, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 61.2s; Iterations = 120, grads =   6.363e-04, unitary_metric = 1.00001
Error = :7.66e-02; Runtime: 70.8s; Iterations = 140, grads =   3.159e-03, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 80.3s; Iterations = 160, grads =   1.810e-03, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 89.9s; Iterations = 180, grads =   2.963e-04, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 99.5s; Iterations = 200, grads =   2.461e-04, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 109.8s; Iterations = 220, grads =   9.399e-05, unitary_metric = 1.00001
Error = :8.50e-02; Runtime: 119.3s; Iterations = 240, grads =   2.854e-01, unitary_metric = 1.00001
Error = :8.28e-02; Runtime: 128.9s; Iterations = 260, grads =   2.829e-01, unitary_metric = 1.00001
Error = :7.70e-02; Runtime: 138.5s; Iterations = 280, grads =   2.060e-02, unitary_metric = 1.00001
Error = :7.66e-02; Runtime: 148.0s; Iterations = 300, grads =   3.518e-03, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 158.3s; Iterations = 320, grads =   1.329e-03, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 167.9s; Iterations = 340, grads =   8.249e-05, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 177.4s; Iterations = 360, grads =   5.203e-03, unitary_metric = 1.00001
Error = :7.88e-02; Runtime: 187.0s; Iterations = 380, grads =   7.656e-02, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 196.6s; Iterations = 400, grads =   6.318e-03, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 206.9s; Iterations = 420, grads =   1.310e-03, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 216.4s; Iterations = 440, grads =   7.679e-06, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 226.0s; Iterations = 460, grads =   5.784e-06, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 235.5s; Iterations = 480, grads =   6.766e-07, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 245.1s; Iterations = 500, grads =   1.577e-06, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 255.4s; Iterations = 520, grads =   3.103e-05, unitary_metric = 1.00001
Error = :9.49e-02; Runtime: 265.0s; Iterations = 540, grads =   7.481e-01, unitary_metric = 1.00001
Error = :7.68e-02; Runtime: 274.6s; Iterations = 560, grads =   1.085e-02, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 284.2s; Iterations = 580, grads =   9.488e-03, unitary_metric = 1.00001
Error = :7.70e-02; Runtime: 293.7s; Iterations = 600, grads =   2.079e-02, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 304.1s; Iterations = 620, grads =   7.755e-03, unitary_metric = 1.00001
Error = :7.88e-02; Runtime: 313.7s; Iterations = 640, grads =   7.503e-02, unitary_metric = 1.00001
Error = :7.76e-02; Runtime: 323.3s; Iterations = 660, grads =   4.052e-02, unitary_metric = 1.00001
Error = :7.65e-02; Runtime: 332.8s; Iterations = 680, grads =   1.576e-04, unitary_metric = 1.00001
Error = :7.92e-02; Runtime: 342.4s; Iterations = 700, grads =   1.092e-01, unitary_metric = 1.00001
Error = :7.70e-02; Runtime: 352.7s; Iterations = 720, grads =   2.021e-02, unitary_metric = 1.00001
Error = :7.66e-02; Runtime: 362.3s; Iterations = 740, grads =   3.543e-03, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 371.9s; Iterations = 760, grads =   5.629e-03, unitary_metric = 1.00001
Error = :7.72e-02; Runtime: 381.4s; Iterations = 780, grads =   2.193e-02, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 391.0s; Iterations = 800, grads =   5.959e-03, unitary_metric = 1.00001
Error = :7.90e-02; Runtime: 401.3s; Iterations = 820, grads =   1.004e-01, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 410.8s; Iterations = 840, grads =   8.082e-03, unitary_metric = 1.00001
Error = :8.18e-02; Runtime: 420.4s; Iterations = 860, grads =   2.172e-01, unitary_metric = 1.00001
Error = :7.74e-02; Runtime: 430.0s; Iterations = 880, grads =   3.424e-02, unitary_metric = 1.00001
Error = :8.01e-02; Runtime: 439.6s; Iterations = 900, grads =   1.196e-01, unitary_metric = 1.00001
Error = :7.68e-02; Runtime: 449.9s; Iterations = 920, grads =   9.544e-03, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 459.5s; Iterations = 940, grads =   6.687e-03, unitary_metric = 1.00001
Error = :7.92e-02; Runtime: 469.0s; Iterations = 960, grads =   9.674e-02, unitary_metric = 1.00001
Error = :7.67e-02; Runtime: 478.6s; Iterations = 980, grads =   7.517e-03, unitary_metric = 1.00001
