Running Block:  161


trying total_time: 30.0 for unitary of size (8, 8)
data saved at: /project/ftchong/qoc/pranav/00012_27_block161.h5
Using 5 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.75e-01; Runtime: 0.9s; Iterations = 0, grads =   3.897e+00, unitary_metric = 1.00010
Error = :1.23e-01; Runtime: 8.5s; Iterations = 20, grads =   5.500e+00, unitary_metric = 1.00007
Error = :1.82e-02; Runtime: 14.4s; Iterations = 40, grads =   8.824e-01, unitary_metric = 1.00006
Error = :5.28e-03; Runtime: 20.3s; Iterations = 60, grads =   3.052e-02, unitary_metric = 1.00007
Error = :4.27e-03; Runtime: 26.2s; Iterations = 80, grads =   1.030e-02, unitary_metric = 1.00006
Error = :4.11e-03; Runtime: 32.1s; Iterations = 100, grads =   5.022e-04, unitary_metric = 1.00006
Error = :4.10e-03; Runtime: 38.6s; Iterations = 120, grads =   1.457e-04, unitary_metric = 1.00006
Error = :4.09e-03; Runtime: 44.5s; Iterations = 140, grads =   8.901e-06, unitary_metric = 1.00006
Error = :4.09e-03; Runtime: 50.4s; Iterations = 160, grads =   8.394e-07, unitary_metric = 1.00006
Error = :4.10e-03; Runtime: 56.2s; Iterations = 180, grads =   4.123e-07, unitary_metric = 1.00006
Error = :4.10e-03; Runtime: 62.1s; Iterations = 200, grads =   5.209e-08, unitary_metric = 1.00006
Error = :4.10e-03; Runtime: 68.5s; Iterations = 220, grads =   4.947e-09, unitary_metric = 1.00006
Error = :4.09e-03; Runtime: 74.3s; Iterations = 240, grads =   6.076e-10, unitary_metric = 1.00006
Error = :4.09e-03; Runtime: 80.1s; Iterations = 260, grads =   7.882e-10, unitary_metric = 1.00006
Error = :4.09e-03; Runtime: 86.0s; Iterations = 280, grads =   4.871e-10, unitary_metric = 1.00006
Error = :4.09e-03; Runtime: 91.8s; Iterations = 300, grads =   3.974e-10, unitary_metric = 1.00006
