Running Block:  244


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block244.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.24e-01; Runtime: 206.0s; Iterations = 1100, grads =   2.679e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 210.2s; Iterations = 1120, grads =   2.092e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 213.7s; Iterations = 1140, grads =   2.336e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 217.3s; Iterations = 1160, grads =   4.898e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 220.9s; Iterations = 1180, grads =   1.495e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 224.5s; Iterations = 1200, grads =   6.105e-08, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 228.6s; Iterations = 1220, grads =   6.749e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 232.2s; Iterations = 1240, grads =   7.703e-03, unitary_metric = 1.00003
Error = :1.27e-01; Runtime: 235.5s; Iterations = 1260, grads =   1.445e-01, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 238.9s; Iterations = 1280, grads =   7.016e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 242.3s; Iterations = 1300, grads =   2.402e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 246.3s; Iterations = 1320, grads =   1.703e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 249.7s; Iterations = 1340, grads =   3.969e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 253.1s; Iterations = 1360, grads =   1.703e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 256.5s; Iterations = 1380, grads =   3.742e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 259.8s; Iterations = 1400, grads =   1.053e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 263.8s; Iterations = 1420, grads =   2.151e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 267.1s; Iterations = 1440, grads =   2.916e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 270.5s; Iterations = 1460, grads =   9.988e-05, unitary_metric = 1.00003
Error = :1.28e-01; Runtime: 273.9s; Iterations = 1480, grads =   2.166e-01, unitary_metric = 1.00003
Error = :1.29e-01; Runtime: 277.3s; Iterations = 1500, grads =   2.849e-01, unitary_metric = 1.00004
