Running Array Job:  1
Experiment flexible ErdosRenyi N=8 p=1 slice=1


trying total_time: 33.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/yongshan/00000_05_flexErdosRenyiN8p1_slice_1.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.65e-01; Runtime: 1.2s; Iterations = 0, grads =   1.973e-02, unitary_metric = 1.00026
Error = :8.37e-01; Runtime: 15.0s; Iterations = 20, grads =   6.402e-01, unitary_metric = 1.00023
Error = :7.75e-01; Runtime: 26.9s; Iterations = 40, grads =   7.847e-02, unitary_metric = 1.00018
Error = :7.66e-01; Runtime: 38.6s; Iterations = 60, grads =   7.683e-03, unitary_metric = 1.00019
Error = :7.63e-01; Runtime: 50.2s; Iterations = 80, grads =   3.265e-04, unitary_metric = 1.00017
Error = :7.55e-01; Runtime: 61.9s; Iterations = 100, grads =   6.328e-04, unitary_metric = 1.00016
Error = :7.51e-01; Runtime: 74.4s; Iterations = 120, grads =   6.219e-03, unitary_metric = 1.00015
Error = :7.50e-01; Runtime: 86.3s; Iterations = 140, grads =   6.578e-06, unitary_metric = 1.00014
Error = :7.50e-01; Runtime: 98.1s; Iterations = 160, grads =   1.255e-04, unitary_metric = 1.00014
Error = :7.50e-01; Runtime: 109.9s; Iterations = 180, grads =   5.108e-06, unitary_metric = 1.00014
Error = :7.52e-01; Runtime: 121.7s; Iterations = 200, grads =   2.661e-02, unitary_metric = 1.00013
Error = :7.50e-01; Runtime: 134.3s; Iterations = 220, grads =   1.336e-03, unitary_metric = 1.00014
Error = :7.50e-01; Runtime: 146.0s; Iterations = 240, grads =   5.456e-04, unitary_metric = 1.00013
Error = :7.52e-01; Runtime: 157.7s; Iterations = 260, grads =   4.266e-02, unitary_metric = 1.00014
Error = :7.50e-01; Runtime: 169.3s; Iterations = 280, grads =   5.237e-03, unitary_metric = 1.00015
Error = :7.50e-01; Runtime: 180.9s; Iterations = 300, grads =   4.367e-04, unitary_metric = 1.00015
Error = :7.53e-01; Runtime: 193.7s; Iterations = 320, grads =   4.033e-02, unitary_metric = 1.00015
Error = :7.50e-01; Runtime: 205.5s; Iterations = 340, grads =   1.194e-03, unitary_metric = 1.00015
