Running Array Job:  105
Experiment Strict ErdosRenyi N=6 p=8 slice=9


trying total_time: 264.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/yongshan/00000_03_strictErdosRenyiN6p8_slice_9.h5
Using 8 Taylor terms and 2 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.49e-01; Runtime: 11.4s; Iterations = 0, grads =   4.773e-01, unitary_metric = 1.00031
Error = :9.95e-01; Runtime: 168.7s; Iterations = 20, grads =   2.756e-02, unitary_metric = 1.00007
Error = :9.99e-01; Runtime: 307.9s; Iterations = 40, grads =   8.500e-03, unitary_metric = 1.00002
Error = :9.96e-01; Runtime: 447.1s; Iterations = 60, grads =   1.539e-02, unitary_metric = 1.00001
Error = :9.95e-01; Runtime: 586.8s; Iterations = 80, grads =   1.879e-02, unitary_metric = 0.99999
Error = :9.99e-01; Runtime: 729.7s; Iterations = 100, grads =   6.918e-03, unitary_metric = 0.99996
Error = :9.93e-01; Runtime: 882.6s; Iterations = 120, grads =   4.150e-02, unitary_metric = 0.99993
Error = :9.87e-01; Runtime: 1026.8s; Iterations = 140, grads =   2.306e-01, unitary_metric = 0.99990
Error = :9.56e-01; Runtime: 1171.3s; Iterations = 160, grads =   3.336e-01, unitary_metric = 0.99992
Error = :9.50e-01; Runtime: 1315.5s; Iterations = 180, grads =   2.481e-01, unitary_metric = 0.99986
Error = :8.95e-01; Runtime: 1459.3s; Iterations = 200, grads =   8.011e-01, unitary_metric = 0.99990
Error = :9.12e-01; Runtime: 1611.2s; Iterations = 220, grads =   3.024e-01, unitary_metric = 0.99986
Error = :8.15e-01; Runtime: 1755.4s; Iterations = 240, grads =   1.948e+00, unitary_metric = 0.99984
Error = :7.92e-01; Runtime: 1899.1s; Iterations = 260, grads =   2.479e+00, unitary_metric = 0.99982
Error = :7.16e-01; Runtime: 2043.3s; Iterations = 280, grads =   3.984e+00, unitary_metric = 0.99982
Error = :6.61e-01; Runtime: 2187.3s; Iterations = 300, grads =   9.649e+00, unitary_metric = 0.99982
Error = :4.12e-01; Runtime: 2339.4s; Iterations = 320, grads =   9.297e+00, unitary_metric = 0.99981
Error = :3.72e-01; Runtime: 2485.2s; Iterations = 340, grads =   1.216e+01, unitary_metric = 0.99980
Error = :3.68e-01; Runtime: 2631.5s; Iterations = 360, grads =   1.275e+01, unitary_metric = 0.99983
Error = :1.31e-01; Runtime: 2776.9s; Iterations = 380, grads =   5.854e+00, unitary_metric = 0.99981
Error = :1.29e-01; Runtime: 2922.7s; Iterations = 400, grads =   7.775e+00, unitary_metric = 0.99981
Error = :1.67e-02; Runtime: 3076.4s; Iterations = 420, grads =   9.649e-01, unitary_metric = 0.99981
Error = :2.14e-02; Runtime: 3221.9s; Iterations = 440, grads =   1.374e+00, unitary_metric = 0.99979
Error = :6.13e-03; Runtime: 3368.4s; Iterations = 460, grads =   3.961e-01, unitary_metric = 0.99981
