Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00000_02_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 716.1s; Iterations = 960, grads =   5.840e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 730.8s; Iterations = 980, grads =   1.018e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 745.4s; Iterations = 1000, grads =   2.085e-04, unitary_metric = 1.00026
Error = :7.51e-01; Runtime: 761.3s; Iterations = 1020, grads =   7.243e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 775.9s; Iterations = 1040, grads =   4.577e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 790.6s; Iterations = 1060, grads =   3.762e-03, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 805.2s; Iterations = 1080, grads =   3.564e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 819.8s; Iterations = 1100, grads =   2.368e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 835.5s; Iterations = 1120, grads =   5.111e-05, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 850.1s; Iterations = 1140, grads =   2.905e-04, unitary_metric = 1.00024
Error = :7.51e-01; Runtime: 864.7s; Iterations = 1160, grads =   1.525e-02, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 879.3s; Iterations = 1180, grads =   8.107e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 894.0s; Iterations = 1200, grads =   2.460e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 910.0s; Iterations = 1220, grads =   7.389e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 924.6s; Iterations = 1240, grads =   1.447e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 939.3s; Iterations = 1260, grads =   3.034e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 953.9s; Iterations = 1280, grads =   6.607e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 968.5s; Iterations = 1300, grads =   3.375e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 984.2s; Iterations = 1320, grads =   1.038e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 998.8s; Iterations = 1340, grads =   1.583e-03, unitary_metric = 1.00023
Error = :7.51e-01; Runtime: 1013.4s; Iterations = 1360, grads =   6.804e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 1028.1s; Iterations = 1380, grads =   2.267e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1042.7s; Iterations = 1400, grads =   1.565e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1058.4s; Iterations = 1420, grads =   7.153e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1073.4s; Iterations = 1440, grads =   5.169e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1088.4s; Iterations = 1460, grads =   2.545e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1103.0s; Iterations = 1480, grads =   2.373e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1117.6s; Iterations = 1500, grads =   1.206e-04, unitary_metric = 1.00023
